rank,original_index,final_score,match_score,diversity_score,is_ground_truth,temperature,humidity,pressure
402,75822,1.0,1.0,0.7146064447786229,True,16.20555556,0.51,1013.77
403,8233,1.0,1.0,0.4376336444104077,True,18.1,0.66,1015.41
404,41194,1.0,1.0,0.6712371508979312,True,18.97222222,0.56,1013.64
405,41195,1.0,1.0,0.7524197067338874,True,19.90555556,0.54,1013.36
406,76012,1.0,1.0,0.37980174960229185,True,17.53333333,0.68,1014.96
407,6544,1.0,1.0,0.8037534837231167,True,18.57222222,0.5,1015.37
408,6563,1.0,1.0,0.7775115135903207,True,19.95555556,0.53,1014.49
409,6562,1.0,1.0,0.6400124993910661,True,18.73333333,0.57,1015.08
410,6561,1.0,1.0,0.3756783898804752,True,17.82777778,0.7,1015.28
411,4510,1.0,1.0,0.3604521424558668,True,16.50555556,0.66,1016.95
412,4508,1.0,1.0,0.5429720728536023,True,17.94444444,0.6,1016.07
413,76185,1.0,1.0,0.4002276264371585,True,16.04444444,0.63,1013.19
414,6545,1.0,1.0,0.7010920242344784,True,17.70555556,0.53,1015.23
415,14742,1.0,1.0,0.4249910324117141,True,17.13333333,0.64,1014.75
416,14735,1.0,1.0,0.7747379038470436,True,19.21666667,0.52,1015.19
417,43409,1.0,1.0,0.6021621357285941,True,18.86111111,0.59,1016.12
418,43403,1.0,1.0,0.6615891100692182,True,18.7,0.56,1015.24
419,6542,1.0,1.0,0.5539251897236566,True,18.68888889,0.61,1015.99
420,6546,1.0,1.0,0.5322846682494075,True,17.07777778,0.59,1015.12
421,43408,1.0,1.0,0.6690376602820889,True,18.88888889,0.56,1015.97
422,6543,1.0,1.0,0.8070136101155934,True,18.67777778,0.5,1015.52
423,6521,1.0,1.0,0.6971660778100495,True,17.55,0.53,1016.81
424,14734,1.0,1.0,0.8191545721522836,True,19.8,0.51,1015.42
425,27019,1.0,1.0,1.0,True,17.77777778,0.37,1015.5
426,43404,1.0,1.0,0.7644346876298945,True,18.91111111,0.52,1015.3
